type,timestamp,positions
CONTROL,4776865.442050621,"[-0.036, 0.063, 0.638, 0.039, -0.06, 0.359]"
CONTROL,4796937.676030211,"[-0.033, 0.066, 0.635, 0.036, -0.063, 0.362]"
CONTROL,4817008.319019806,"[-0.03, 0.069, 0.632, 0.033, -0.066, 0.365]"
CONTROL,4837074.812036008,"[-0.027, 0.072, 0.629, 0.03, -0.069, 0.368]"
CONTROL,4857117.206032854,"[-0.024, 0.075, 0.626, 0.027, -0.072, 0.371]"
CONTROL,4877195.009030402,"[-0.021, 0.078, 0.623, 0.024, -0.075, 0.374]"
CONTROL,4897272.742993664,"[-0.018, 0.081, 0.62, 0.021, -0.078, 0.377]"
CONTROL,4917349.786031991,"[-0.015, 0.084, 0.617, 0.018, -0.081, 0.38]"
CONTROL,4937424.320029095,"[-0.012, 0.087, 0.614, 0.015, -0.084, 0.383]"
CONTROL,4957502.79299682,"[-0.009, 0.09, 0.611, 0.012, -0.087, 0.386]"
CONTROL,4977582.477033138,"[-0.006, 0.093, 0.608, 0.009, -0.09, 0.389]"
CONTROL,4997611.140017398,"[-0.003, 0.096, 0.605, 0.006, -0.093, 0.392]"
CONTROL,5017688.70401429,"[0.0, 0.099, 0.602, 0.003, -0.096, 0.395]"
CONTROL,5037794.067000505,"[0.003, 0.102, 0.599, 0.0, -0.099, 0.398]"
CONTROL,5057873.261044733,"[0.006, 0.105, 0.596, -0.003, -0.102, 0.401]"
CONTROL,5077956.883993465,"[0.009, 0.108, 0.593, -0.006, -0.105, 0.404]"
CONTROL,5098034.718015697,"[0.012, 0.111, 0.59, -0.009, -0.108, 0.407]"
CONTROL,5118104.821012821,"[0.015, 0.114, 0.587, -0.012, -0.111, 0.41]"
CONTROL,5138186.105003115,"[0.018, 0.117, 0.584, -0.015, -0.114, 0.413]"
CONTROL,5158262.13802211,"[0.021, 0.12, 0.581, -0.018, -0.117, 0.416]"
CONTROL,5178330.452006776,"[0.024, 0.123, 0.578, -0.021, -0.12, 0.419]"
CONTROL,5198403.945018072,"[0.027, 0.126, 0.575, -0.024, -0.123, 0.422]"
CONTROL,5218484.419048764,"[0.03, 0.129, 0.572, -0.027, -0.126, 0.425]"
CONTROL,5238561.8120315485,"[0.033, 0.132, 0.569, -0.03, -0.129, 0.428]"
CONTROL,5258638.205996249,"[0.036, 0.135, 0.566, -0.033, -0.132, 0.431]"
CONTROL,5278709.45900213,"[0.039, 0.138, 0.563, -0.036, -0.135, 0.434]"
CONTROL,5298775.653005578,"[0.042, 0.141, 0.56, -0.039, -0.138, 0.437]"
CONTROL,5318846.13604052,"[0.045, 0.144, 0.557, -0.042, -0.141, 0.44]"
CONTROL,5338915.250031278,"[0.048, 0.147, 0.554, -0.045, -0.144, 0.443]"
CONTROL,5358985.95303297,"[0.051, 0.15, 0.551, -0.048, -0.147, 0.446]"
CONTROL,5379057.767044287,"[0.054, 0.147, 0.548, -0.051, -0.15, 0.449]"
CONTROL,5399110.810016282,"[0.057, 0.144, 0.545, -0.054, -0.147, 0.452]"
CONTROL,5419186.123996042,"[0.06, 0.141, 0.542, -0.057, -0.144, 0.455]"
CONTROL,5439262.217027135,"[0.063, 0.138, 0.539, -0.06, -0.141, 0.458]"
CONTROL,5459333.100996446,"[0.066, 0.135, 0.536, -0.063, -0.138, 0.461]"
CONTROL,5479405.364021659,"[0.069, 0.132, 0.533, -0.066, -0.135, 0.464]"
CONTROL,5499487.188004423,"[0.072, 0.129, 0.53, -0.069, -0.132, 0.467]"
CONTROL,5519559.0410148725,"[0.075, 0.126, 0.527, -0.072, -0.129, 0.47]"
CONTROL,5539632.914995309,"[0.078, 0.123, 0.524, -0.075, -0.126, 0.473]"
CONTROL,5559706.338040996,"[0.081, 0.12, 0.521, -0.078, -0.123, 0.476]"
CONTROL,5579777.79203793,"[0.084, 0.117, 0.518, -0.081, -0.12, 0.479]"
CONTROL,5599811.065010726,"[0.087, 0.114, 0.515, -0.084, -0.117, 0.482]"
CONTROL,5619891.7390429415,"[0.09, 0.111, 0.512, -0.087, -0.114, 0.485]"
CONTROL,5639963.01201405,"[0.093, 0.108, 0.509, -0.09, -0.111, 0.488]"
CONTROL,5660033.985041082,"[0.096, 0.105, 0.506, -0.093, -0.108, 0.491]"
CONTROL,5680108.469037805,"[0.099, 0.102, 0.503, -0.096, -0.105, 0.494]"
CONTROL,5700182.62200756,"[0.102, 0.099, 0.5, -0.099, -0.102, 0.497]"
CONTROL,5720257.76602095,"[0.105, 0.096, 0.497, -0.102, -0.099, 0.5]"
CONTROL,5740327.269013505,"[0.108, 0.093, 0.494, -0.105, -0.096, 0.503]"
CONTROL,5760402.522049844,"[0.111, 0.09, 0.491, -0.108, -0.093, 0.506]"
CONTROL,5780473.835999146,"[0.114, 0.087, 0.488, -0.111, -0.09, 0.509]"
CONTROL,5800547.729013488,"[0.117, 0.084, 0.485, -0.114, -0.087, 0.512]"
